,Player,Team,GP,G,A,Pts,+/-,PN,PIM,S,SB,MS,H,GV,TK,BS,FW,FL,F%,Year
26,Brock Faber,MIN,2,0,0,0,2,0,0,1,1,2,0,1,1,9,0,0,0,2023
27,Matthew Knies,TOR,3,0,1,1,1,1,2,4,2,1,2,1,3,2,0,0,0,2023
28,Tristen Robins,S.J,3,0,0,0,-1,0,0,2,0,0,2,1,0,3,13,16,44.83,2023
29,Connor Carrick,BOS,1,0,1,1,3,0,0,2,1,1,4,0,0,0,0,0,0,2023
30,Vinni Lettieri,BOS,1,0,0,0,-1,0,0,1,0,0,3,0,0,0,0,1,0,2023
31,Jason Demers,EDM,1,0,0,0,-1,0,0,1,0,0,3,1,0,3,0,0,0,2023
32,Adam Raska,S.J,3,0,0,0,0,0,0,1,1,1,13,3,1,2,0,1,0,2023
33,Cole McWard,VAN,5,1,0,1,0,0,0,6,4,4,5,4,0,6,0,0,0,2023
34,Dmitri Samorukov,STL,2,0,0,0,-1,1,2,1,3,0,0,0,0,2,0,0,0,2023
35,Ronnie Attard,PHI,2,0,0,0,0,0,0,5,1,2,3,0,3,2,0,0,0,2023
36,Egor Sokolov,OTT,5,1,1,2,2,0,0,5,2,0,5,0,0,2,0,0,0,2023
37,Thomas Harley,DAL,6,0,2,2,5,1,2,8,3,1,1,3,0,8,0,0,0,2023
38,Akito Hirose,VAN,7,0,3,3,-1,2,4,4,1,4,6,5,1,6,0,0,0,2023
39,Nick Abruzzese,TOR,2,0,2,2,2,0,0,2,1,0,1,0,0,0,0,0,0,2023
40,Marco Kasper,DET,1,0,0,0,0,0,0,1,0,0,3,0,0,0,1,7,12.5,2023
41,Matthew Kessel,STL,2,0,0,0,-1,0,0,3,3,0,0,0,0,1,0,0,0,2023
42,Danil Gushchin,S.J,2,1,1,2,-1,0,0,8,1,3,0,0,1,5,0,0,0,2023
43,Kyle Criscuolo,S.J,1,1,0,1,0,0,0,2,0,0,2,0,1,1,1,0,100,2023
44,Justin Richards,CBJ,2,0,1,1,-1,0,0,0,0,0,4,0,1,0,5,8,38.46,2023
45,Henry Thrun,S.J,8,0,2,2,-3,0,0,7,5,7,4,6,1,9,0,0,0,2023
46,Thomas Bordeleau,S.J,8,0,2,2,-3,0,0,9,8,6,4,5,5,3,2,6,25,2023
47,Austin Wagner,CHI,7,1,1,2,-2,0,0,13,7,5,20,3,3,1,0,0,0,2023
48,Tyler Kleven,OTT,8,0,2,2,0,1,2,11,7,6,9,8,2,7,0,0,0,2023
49,Alex Vlasic,CHI,6,0,1,1,-1,0,0,4,0,1,5,1,5,9,0,0,0,2023
50,Taro Hirose,DET,3,0,0,0,-2,1,2,2,0,2,1,1,0,2,1,0,100,2023
51,Sean Farrell,MTL,6,1,0,1,-2,0,0,8,5,3,0,2,1,2,0,1,0,2023
