,Player,Team,GP,G,A,Pts,+/-,PN,PIM,S,SB,MS,H,GV,TK,BS,FW,FL,F%,Year
692,Karson Kuhlman,SEA,49,3,4,7,-5,4,8,48,36,30,41,12,15,18,1,5,16.67,2023
693,Max Jones,ANA,69,9,9,18,-22,30,77,107,43,34,110,18,22,18,10,12,45.45,2023
694,Carson Soucy,SEA,78,3,12,15,18,27,68,87,65,43,144,32,29,96,0,0,0,2023
695,Kevin Shattenkirk,ANA,75,4,23,27,-20,24,56,144,88,44,79,33,31,114,0,0,0,2023
696,Troy Terry,ANA,70,23,38,61,-4,11,22,188,69,94,12,27,43,21,2,0,100,2023
697,Andre Burakovsky,SEA,49,13,27,40,-8,7,14,104,58,42,17,17,31,15,0,6,0,2023
698,Oliver Bjorkstrand,SEA,81,20,25,45,2,8,16,198,59,101,63,21,56,38,18,41,30.51,2023
699,Jared McCann,SEA,79,40,30,70,18,7,14,210,108,78,65,28,56,28,26,53,32.91,2023
700,Vince Dunn,SEA,81,14,49,63,30,25,55,149,108,75,115,54,50,81,0,0,0,2023
701,Yanni Gourde,SEA,81,14,34,48,24,27,76,142,44,59,117,27,65,53,482,489,49.64,2023
702,Justin Schultz,SEA,73,7,28,35,3,19,38,95,85,32,30,24,14,72,0,0,0,2023
703,Max Comtois,ANA,66,9,10,19,-23,19,66,89,19,32,81,36,11,27,23,21,52.27,2023
704,Bowen Byram,COL,43,10,14,24,6,16,38,66,46,29,82,20,13,54,0,0,0,2023
705,Alec Regula,CHI,4,0,0,0,-3,2,4,2,4,1,4,7,1,8,0,0,0,2023
706,Philipp Kurashev,CHI,70,9,16,25,-32,7,14,114,52,41,38,23,42,34,84,106,44.21,2023
707,Taylor Raddysh,CHI,78,20,17,37,-28,8,16,129,43,52,82,29,33,38,10,8,55.56,2023
708,Nathan MacKinnon,COL,72,42,68,110,27,15,30,367,148,115,53,47,43,40,518,649,44.39,2023
709,Sam Lafferty,CHI,72,12,15,27,-10,13,37,102,29,32,125,34,27,34,248,236,51.24,2023
710,Kurtis MacDermid,COL,44,1,5,6,-1,20,55,20,23,8,85,8,6,32,0,1,0,2023
711,Mikko Rantanen,COL,82,55,50,105,15,33,82,306,131,122,77,45,61,41,222,230,49.12,2023
712,Samuel Girard,COL,76,6,31,37,-10,8,16,119,113,36,67,36,42,117,0,0,0,2023
713,Buddy Robinson,CHI,9,1,2,3,1,2,4,13,1,5,15,3,0,3,1,4,20,2023
714,Evan Rodrigues,COL,69,16,23,39,8,15,30,183,75,52,34,32,29,27,119,122,49.38,2023
715,Seth Jones,CHI,72,12,25,37,-41,13,30,180,87,64,106,66,46,124,0,0,0,2023
716,J.T. Compher,COL,82,17,34,51,9,15,33,153,46,55,37,28,28,82,813,853,48.8,2023
717,Artturi Lehkonen,COL,65,21,30,51,9,14,28,149,63,64,93,12,26,42,4,19,17.39,2023
718,Andreas Athanasiou,CHI,81,20,18,38,-30,13,36,175,77,84,43,49,58,46,81,92,46.82,2023
719,Patrick Kane,CHI,74,21,37,58,-24,8,16,227,74,69,13,61,31,19,1,1,50,2023
720,Jonathan Toews,CHI,53,15,16,31,-32,16,43,87,25,26,9,42,37,22,594,347,63.12,2023
721,Max Domi,CHI,80,20,36,56,-16,26,82,177,79,63,22,51,65,24,508,442,53.47,2023
722,Jujhar Khaira,CHI,52,6,8,14,-10,11,31,59,25,27,108,20,23,40,154,164,48.43,2023
723,Erik Johnson,COL,63,0,8,8,8,6,12,98,54,28,122,17,16,101,0,0,0,2023
724,Ben Meyers,COL,40,4,0,4,-6,3,6,33,13,14,25,3,11,13,96,91,51.34,2023
725,Cale Makar,COL,62,17,49,66,16,14,30,177,146,82,64,48,50,78,0,0,0,2023
726,MacKenzie Entwistle,CHI,66,4,6,10,-11,7,14,50,25,31,126,21,15,28,93,106,46.73,2023
727,Connor Murphy,CHI,80,7,6,13,-10,27,69,84,66,27,165,36,27,159,0,0,0,2023
728,Alex Newhook,COL,82,14,16,30,0,11,22,118,50,25,60,20,26,26,208,295,41.35,2023
729,Filip Roos,CHI,17,1,2,3,-5,2,4,19,16,8,14,10,4,20,0,0,0,2023
730,Josh Manson,COL,28,2,8,10,13,18,42,41,20,10,64,13,20,41,0,0,0,2023
731,Valeri Nichushkin,COL,54,17,30,47,15,1,2,158,47,50,54,26,32,37,0,4,0,2023
732,Tyler Johnson,CHI,56,12,20,32,-22,8,16,124,43,48,49,22,33,24,58,55,51.33,2023
733,Colin Blackwell,CHI,53,2,8,10,-15,3,6,53,27,19,49,15,20,17,18,18,50,2023
734,Lukas Sedlak,COL,30,3,5,8,4,6,12,44,7,10,58,6,4,31,87,102,46.03,2023
735,Devon Toews,COL,80,7,42,49,39,12,26,166,95,49,93,39,45,138,0,0,0,2023
736,Andrew Cogliano,COL,79,9,9,18,6,18,44,83,26,21,55,9,24,54,33,37,47.14,2023
737,Jack Johnson,CHI,83,2,6,8,-15,14,28,92,57,25,117,40,16,126,0,1,0,2023
738,Jarred Tinordi,CHI,44,2,6,8,-17,14,40,33,26,19,139,20,11,67,0,0,0,2023
739,Logan O'Connor,COL,82,10,16,26,11,17,37,104,44,49,116,20,42,50,2,10,16.67,2023
740,Kirby Dach,MTL,58,14,25,39,0,20,51,108,34,47,53,31,28,39,87,140,38.33,2023
741,Rasmus Sandin,TOR,71,7,28,35,4,15,39,81,64,29,136,48,25,86,0,0,0,2023
742,Mitchell Marner,TOR,80,30,69,99,19,14,28,195,138,67,53,94,104,45,0,3,0,2023
743,Cole Caufield,MTL,46,27,10,37,-8,1,2,160,66,71,18,23,20,12,0,0,0,2023
744,Sean Monahan,MTL,25,6,11,17,-5,4,16,55,14,15,10,14,18,8,177,144,55.14,2023
745,Michael Bunting,TOR,82,23,26,49,22,42,103,174,44,81,84,38,49,18,1,2,33.33,2023
746,Denis Malgin,TOR,66,13,8,21,3,4,8,111,48,38,68,24,29,18,4,6,40,2023
747,Jake Muzzin,TOR,4,0,1,1,0,1,2,8,7,4,11,5,2,10,0,0,0,2023
748,David Savard,MTL,62,3,17,20,-15,12,40,63,41,19,61,61,15,176,0,0,0,2023
749,Rem Pitlick,MTL,47,6,9,15,-14,11,22,30,6,21,23,31,12,18,25,33,43.1,2023
750,Josh Anderson,MTL,69,21,11,32,-7,24,72,165,54,67,142,25,33,48,20,25,44.44,2023
751,Nick Suzuki,MTL,82,26,40,66,-13,11,33,161,77,55,50,52,42,56,663,739,47.29,2023
752,Christian Dvorak,MTL,65,10,18,28,-13,3,6,88,28,28,13,34,20,66,477,440,52.02,2023
753,Chris Wideman,MTL,49,0,6,6,-6,22,71,31,22,14,25,37,7,51,0,0,0,2023
754,Zach Aston-Reese,TOR,77,10,5,15,-6,11,25,88,26,49,162,12,18,43,7,7,50,2023
755,Morgan Rielly,TOR,65,4,37,41,-10,9,21,126,68,48,70,65,20,84,0,0,0,2023
756,Brendan Gallagher,MTL,37,9,6,15,-4,16,43,94,53,31,18,17,5,13,6,11,35.29,2023
757,Kaiden Guhle,MTL,44,4,14,18,-19,12,27,49,42,17,84,51,23,77,0,0,0,2023
758,Arber Xhekaj,MTL,51,5,7,12,-8,29,101,75,66,28,159,38,14,46,0,0,0,2023
759,Juraj Slafkovsky,MTL,40,4,7,11,-12,11,33,42,33,21,54,13,12,24,5,5,50,2023
760,David Kampf,TOR,82,7,20,27,6,4,8,106,32,33,74,30,57,30,590,558,51.39,2023
761,Alexander Kerfoot,TOR,82,10,22,32,9,15,30,133,44,45,54,38,46,45,65,80,44.83,2023
762,Jake Evans,MTL,54,2,17,19,-4,10,28,55,35,17,27,29,19,41,339,311,52.15,2023
763,TJ Brodie,TOR,59,2,12,14,10,7,14,58,28,16,48,43,26,109,0,0,0,2023
764,Jordan Harris,MTL,66,4,13,17,-3,13,26,70,63,25,53,29,18,97,0,0,0,2023
765,John Tavares,TOR,80,36,44,80,-7,17,34,277,72,115,112,54,46,36,727,519,58.35,2023
766,Pierre Engvall,TOR,76,17,13,30,8,9,21,131,70,48,47,38,25,6,33,31,51.56,2023
767,Auston Matthews,TOR,74,40,45,85,32,10,20,328,115,125,78,55,68,91,550,498,52.48,2023
768,Mike Hoffman,MTL,67,14,20,34,-9,14,28,148,63,50,24,41,19,24,16,12,57.14,2023
769,Evgeny Dadonov,MTL,73,7,26,33,-7,9,18,110,50,44,33,32,21,43,2,6,25,2023
770,Nicolas Aube-Kubel,TOR,54,4,8,12,1,17,40,67,31,35,117,18,14,9,7,7,50,2023
771,Calle Jarnkrok,TOR,73,20,19,39,10,7,14,106,42,47,50,12,21,19,42,52,44.68,2023
772,William Nylander,TOR,82,40,46,86,10,14,28,292,113,110,18,36,70,26,26,33,44.07,2023
773,Justin Holl,TOR,80,2,16,18,15,18,39,60,33,15,151,56,28,138,0,0,0,2023
774,Johnathan Kovacevic,MTL,77,3,12,15,2,14,39,93,71,39,93,90,35,85,0,0,0,2023
775,Mark Giordano,TOR,78,4,20,24,26,25,53,107,78,46,60,48,20,147,0,0,0,2023
776,Martin Necas,CAR,82,28,44,72,7,16,32,239,88,109,58,65,45,21,189,229,45.22,2023
777,Andrei Svechnikov,CAR,64,23,32,55,6,30,71,206,91,113,139,49,35,18,4,5,44.44,2023
778,Adam Boqvist,CBJ,46,5,17,22,-11,4,8,68,37,30,23,24,11,47,0,0,0,2023
779,Zach Werenski,CBJ,13,3,5,8,-6,0,0,41,23,13,5,9,14,24,0,0,0,2023
780,Mathieu Olivier,CBJ,66,5,10,15,-20,27,81,75,28,33,178,8,17,59,2,13,13.33,2023
781,Yegor Chinakhov,CBJ,30,4,9,13,-6,4,10,44,20,27,27,10,21,17,1,2,33.33,2023
782,Vladislav Gavrikov,CBJ,72,6,13,19,4,19,38,89,42,36,74,19,27,115,0,0,0,2023
783,Erik Gudbranson,CBJ,70,1,11,12,-25,24,57,102,74,39,119,34,13,133,0,0,0,2023
784,Jakub Voracek,CBJ,11,1,4,5,-7,0,0,17,6,3,2,1,4,7,1,2,33.33,2023
785,Johnny Gaudreau,CBJ,80,21,53,74,-34,11,22,220,90,87,5,50,49,18,0,0,0,2023
786,Teuvo Teravainen,CAR,68,12,24,36,10,8,16,142,40,51,15,49,36,17,32,19,62.75,2023
787,Calvin De Haan,CAR,53,2,10,12,8,10,20,51,51,51,84,17,15,48,0,0,0,2023
788,Jaccob Slavin,CAR,76,7,20,27,19,4,8,131,98,67,36,40,88,104,0,0,0,2023
789,Derek Stepan,CAR,73,5,6,11,8,4,8,98,34,46,29,10,24,20,227,192,54.18,2023
790,Gustav Nyquist,CBJ,51,11,16,27,-9,8,16,102,31,32,41,20,31,30,14,18,43.75,2023
791,Paul Stastny,CAR,73,9,15,24,4,8,16,81,18,40,21,8,20,17,279,207,57.41,2023
792,Brent Burns,CAR,82,18,42,60,19,22,44,256,189,110,40,52,55,85,1,0,100,2023
793,Eric Robinson,CBJ,72,12,12,24,-20,3,6,98,55,35,123,17,30,33,3,12,20,2023
794,Ondrej Kase,CAR,1,0,0,0,0,0,0,0,1,2,1,0,1,0,0,1,0,2023
795,Jalen Chatfield,CAR,78,6,7,13,23,16,35,92,70,53,78,21,28,63,0,0,0,2023
796,Sean Kuraly,CBJ,71,11,9,20,-28,26,68,99,38,44,187,17,30,45,568,575,49.69,2023
797,Jake Bean,CBJ,14,1,5,6,-2,3,6,16,11,5,13,3,8,21,0,0,0,2023
798,Justin Danforth,CBJ,6,2,1,3,-3,2,4,10,3,7,7,1,1,1,4,9,30.77,2023
799,Andrew Peeke,CBJ,80,6,7,13,-40,11,22,90,61,36,180,31,24,195,0,0,0,2023
800,Jack Roslovic,CBJ,77,11,33,44,-14,5,10,123,54,42,42,46,31,52,399,490,44.88,2023
801,Cole Sillinger,CBJ,65,3,8,11,-23,11,22,94,42,42,105,15,17,36,309,389,44.27,2023
802,Boone Jenner,CBJ,68,27,17,44,-32,20,51,214,70,102,130,25,28,70,756,628,54.62,2023
803,Brett Pesce,CAR,82,5,25,30,10,16,43,142,132,72,37,26,60,108,0,0,0,2023
804,Jesper Fast,CAR,80,10,19,29,9,8,16,75,27,49,104,27,24,41,10,15,40,2023
805,Jordan Martinook,CAR,82,13,21,34,8,29,61,163,56,85,81,20,45,32,32,38,45.71,2023
806,Patrik Laine,CBJ,55,22,30,52,-12,8,16,184,91,84,27,40,24,27,28,52,35,2023
807,Sebastian Aho,CAR,75,36,32,68,9,21,42,219,64,92,59,63,63,21,532,502,51.45,2023
808,Brady Skjei,CAR,81,18,20,38,6,20,40,189,125,96,71,54,47,61,0,0,0,2023
809,Jordan Staal,CAR,81,17,17,34,6,16,32,124,31,48,155,30,33,39,821,656,55.59,2023
810,Jesperi Kotkaniemi,CAR,82,18,24,42,10,25,50,130,59,55,105,48,29,21,360,340,51.43,2023
811,Seth Jarvis,CAR,82,14,26,40,9,6,12,187,67,71,73,30,37,47,9,17,34.62,2023
812,Martin Fehervary,WSH,67,6,10,16,-11,14,31,93,68,34,219,33,15,128,0,0,0,2023
813,Taylor Hall,BOS,61,16,20,36,12,12,24,150,59,48,35,41,24,33,4,5,44.44,2023
814,Brandon Carlo,BOS,75,3,13,16,44,16,38,95,47,33,128,21,28,116,0,0,0,2023
815,A.J. Greer,BOS,62,5,7,12,9,25,114,67,22,18,101,14,17,25,2,1,66.67,2023
816,Lars Eller,WSH,84,10,13,23,2,22,46,141,77,51,95,36,40,43,550,479,53.45,2023
817,Dylan Strome,WSH,81,23,43,66,-5,12,24,156,55,65,20,43,45,43,533,563,48.63,2023
818,Anthony Mantha,WSH,67,11,16,27,-9,12,33,120,47,37,70,33,23,25,9,9,50,2023
819,Mike Reilly,BOS,10,0,1,1,-1,1,2,12,9,7,21,4,0,9,0,0,0,2023
820,Connor Brown,WSH,4,0,0,0,-3,0,0,2,3,3,6,2,1,1,2,3,40,2023
821,Pavel Zacha,BOS,82,21,36,57,26,8,16,131,41,48,67,35,31,20,135,161,45.61,2023
822,Trevor Van Riemsdyk,WSH,75,7,16,23,10,6,15,97,66,30,21,40,30,159,0,0,0,2023
823,Charlie Coyle,BOS,82,16,29,45,29,15,30,139,50,50,69,42,59,62,534,483,52.51,2023
824,Evgeny Kuznetsov,WSH,81,12,42,54,-25,28,56,175,80,67,45,64,44,31,510,570,47.22,2023
825,Marcus Johansson,WSH,80,20,28,48,1,4,8,138,58,39,26,31,31,23,24,29,45.28,2023
826,Jakub Zboril,BOS,23,1,3,4,-1,3,6,13,9,8,31,5,4,18,0,0,0,2023
827,Hampus Lindholm,BOS,80,10,43,53,44,28,56,158,95,45,78,65,31,100,0,0,0,2023
828,Nick Jensen,WSH,77,5,23,28,-3,9,18,109,97,52,110,59,38,130,0,0,0,2023
829,Craig Smith,BOS,64,9,7,16,5,9,18,104,46,28,48,21,22,21,2,7,22.22,2023
830,Nick Foligno,BOS,60,10,16,26,18,18,45,73,20,25,147,18,21,29,40,31,56.34,2023
831,Erik Gustafsson,WSH,71,7,36,43,8,10,23,126,82,63,52,46,27,64,0,0,0,2023
832,Garnet Hathaway,WSH,84,13,9,22,5,26,69,88,32,31,277,13,12,85,3,10,23.08,2023
833,Patrice Bergeron,BOS,78,27,31,58,35,10,22,247,96,94,65,21,38,53,1048,658,61.43,2023
834,Aliaksei Protas,WSH,59,4,11,15,-7,6,12,83,34,22,39,21,17,15,21,43,32.81,2023
835,Jakub Lauko,BOS,24,4,3,7,2,4,11,17,8,8,44,6,7,6,0,4,0,2023
836,Connor Clifton,BOS,78,5,18,23,24,24,60,93,35,44,208,47,20,120,0,0,0,2023
837,Jake Debrusk,BOS,64,27,23,50,26,8,16,191,54,52,85,18,28,22,4,11,26.67,2023
838,John Carlson,WSH,40,9,20,29,-8,6,12,123,68,69,42,33,21,86,0,0,0,2023
839,Derek Forbort,BOS,54,5,7,12,16,10,23,38,48,17,106,24,14,88,0,0,0,2023
840,Nic Dowd,WSH,65,13,12,25,6,11,24,62,24,24,136,34,28,61,433,419,50.82,2023
841,Dmitry Orlov,WSH,66,7,29,36,8,11,22,123,77,39,141,51,30,87,0,0,0,2023
842,T.J. Oshie,WSH,58,20,16,36,-18,21,59,128,42,61,128,26,45,33,86,99,46.49,2023
843,Alex Ovechkin,WSH,73,42,33,75,-16,19,48,295,166,117,188,52,31,23,4,5,44.44,2023
844,David Pastrnak,BOS,82,61,51,112,34,18,38,405,184,135,91,109,52,32,8,11,42.11,2023
845,Tomas Nosek,BOS,66,7,11,18,9,17,48,69,21,23,69,22,20,31,353,243,59.23,2023
846,Conor Sheary,WSH,82,15,21,36,10,11,22,154,42,62,57,34,48,39,20,19,51.28,2023
847,David Krejci,BOS,70,16,41,57,23,10,20,112,47,44,41,36,17,38,351,390,47.37,2023
848,Sean Walker,L.A,70,3,10,13,-3,18,36,95,57,34,77,32,13,102,0,0,0,2023
849,Sean Durzi,L.A,72,9,29,38,-11,22,50,109,106,46,68,61,21,140,0,0,0,2023
850,Alex Iafallo,L.A,59,14,21,35,13,10,20,132,47,37,27,9,29,33,7,6,53.85,2023
851,Gabriel Vilardi,L.A,65,23,18,41,9,9,18,120,46,39,41,16,23,33,53,60,46.9,2023
852,Viktor Arvidsson,L.A,77,26,33,59,-3,12,24,227,101,87,25,35,19,48,26,40,39.39,2023
853,Michael Amadio,VGK,67,17,11,28,3,6,12,102,23,29,56,13,37,27,31,32,49.21,2023
854,Reilly Smith,VGK,78,26,30,56,9,8,16,182,68,62,71,39,31,32,5,4,55.56,2023
855,Alec Martinez,VGK,77,4,12,16,35,13,29,77,83,43,51,30,29,245,0,0,0,2023
856,Brett Howden,VGK,55,6,7,13,5,20,43,53,25,30,108,7,24,33,117,110,51.54,2023
857,Trevor Moore,L.A,59,10,19,29,-1,7,14,163,46,55,60,19,26,23,14,25,35.9,2023
858,Nicolas Roy,VGK,65,15,18,33,12,12,24,102,39,39,84,13,46,40,371,406,47.75,2023
859,Carl Grundstrom,L.A,57,12,7,19,-4,8,16,90,37,42,144,14,14,17,4,5,44.44,2023
860,Drew Doughty,L.A,81,9,43,52,11,17,34,143,91,54,115,59,22,104,0,0,0,2023
861,Jack Eichel,VGK,67,27,39,66,25,3,6,222,75,61,59,54,47,56,359,434,45.27,2023
862,Mikey Anderson,L.A,78,5,15,20,20,16,40,90,56,42,162,31,18,130,0,0,0,2023
863,Alexander Edler,L.A,65,2,9,11,-1,17,34,56,64,34,106,27,6,102,0,0,0,2023
864,Kevin Fiala,L.A,70,23,49,72,3,26,52,208,89,65,52,37,18,18,8,7,53.33,2023
865,Shea Theodore,VGK,55,8,33,41,15,8,18,139,97,48,16,24,28,89,0,0,0,2023
866,Phil Kessel,VGK,82,14,23,37,-6,16,32,152,64,50,10,27,36,29,6,8,42.86,2023
867,Phillip Danault,L.A,82,18,35,53,-8,25,63,151,49,50,81,32,28,73,693,580,54.44,2023
868,Matt Roy,L.A,82,9,17,26,8,11,22,134,65,51,119,45,7,153,0,0,0,2023
869,Jonathan Marchessault,VGK,76,28,30,58,2,9,21,239,113,90,76,30,42,17,20,35,36.36,2023
870,Anze Kopitar,L.A,82,28,46,74,19,2,4,169,51,72,68,49,46,87,899,710,55.87,2023
871,Paul Cotter,VGK,57,15,5,20,-3,6,15,81,37,19,171,11,18,17,11,13,45.83,2023
872,Quinton Byfield,L.A,53,3,19,22,12,15,30,75,26,44,53,19,16,16,51,57,47.22,2023
873,Zach Whitecloud,VGK,60,5,7,12,10,14,39,65,52,26,90,26,24,101,0,0,0,2023
874,Adrian Kempe,L.A,82,41,25,66,21,22,55,250,108,91,119,39,24,32,16,35,31.37,2023
875,Keegan Kolesar,VGK,74,8,11,19,8,22,70,65,26,23,283,16,14,32,8,16,33.33,2023
876,Brayden McNabb,VGK,82,1,16,17,15,17,43,90,91,41,205,31,39,202,0,0,0,2023
877,William Karlsson,VGK,82,14,39,53,12,5,10,165,56,75,52,35,44,51,654,518,55.8,2023
878,Ben Hutton,VGK,33,3,5,8,1,3,6,53,29,14,20,7,14,35,0,0,0,2023
879,Alex Pietrangelo,VGK,73,11,46,57,19,8,16,172,100,69,65,53,59,180,1,0,100,2023
880,Mark Stone,VGK,43,17,21,38,11,5,10,112,38,40,31,22,47,23,1,2,33.33,2023
881,Arthur Kaliyev,L.A,56,13,15,28,-5,6,12,122,58,47,40,14,8,10,0,0,0,2023
882,Blake Lizotte,L.A,81,11,23,34,10,27,60,108,24,44,96,16,32,39,416,391,51.55,2023
883,Chandler Stephenson,VGK,81,16,49,65,12,9,26,120,38,45,74,30,64,57,675,488,58.04,2023
884,Filip Chytil,NYR,74,22,22,44,15,14,30,177,68,65,36,35,30,38,251,380,39.78,2023
