Player,Team,GP,G,A,Pts,+/-,PN,PIM,S,SB,MS,H,GV,TK,BS,FW,FL,F%,Year
Lassi Thomson,OTT,16,0,4,4,-8,1,2,18,18,3,23,7,5,9,0,0,0,2022
Ryan Poehling,MTL,57,9,8,17,-21,3,6,92,23,22,40,24,21,27,228,261,46.63,2022
Jacob Markstrom,CGY,1,0,0,0,0,0,0,2,0,0,1,1,1,0,5,2,71.43,2022
Kyle Capobianco,ARI,47,2,7,9,-11,18,38,41,23,22,43,31,16,46,0,0,0,2022
Mathieu Olivier,NSH,10,0,1,1,-3,4,14,5,3,3,23,2,3,4,0,1,0,2022
Michael McCarron,NSH,52,7,7,14,10,18,60,51,17,16,116,19,14,31,191,162,54.11,2022
Kirill Semyonov,TOR,3,0,0,0,-2,0,0,1,1,2,4,1,0,0,1,1,50,2022
Paul Cotter,VGK,7,2,0,2,1,3,6,11,3,3,17,0,1,1,0,1,0,2022
Tyce Thompson,N.J,2,0,0,0,0,0,0,3,1,1,2,2,2,0,1,0,100,2022
Jesper Boqvist,N.J,57,10,13,23,-9,5,10,74,30,31,31,23,18,16,169,282,37.47,2022
Lucas Carlsson,FLA,41,3,6,9,3,5,10,41,27,17,39,12,7,29,0,0,0,2022
Patrick Kaleta,L.A,1,0,0,0,1,0,0,1,1,3,2,1,0,1,0,0,0,2022
Egor Sokolov,OTT,8,0,0,0,-6,2,4,8,3,3,13,0,1,4,0,0,0,2022
Erik Brannstrom,OTT,53,0,14,14,-18,14,30,86,54,29,39,36,10,59,0,0,0,2022
Axel Jonsson-Fjallby,WSH,23,2,2,4,0,2,4,29,8,10,18,5,3,8,1,3,25,2022
Christian Wolanin,BUF,10,1,1,2,-1,1,2,5,4,2,5,3,6,13,0,0,0,2022
Calle Rosen,STL,19,2,5,7,-2,2,4,17,14,7,6,11,3,16,0,0,0,2022
Sebastian Aho,NYI,38,2,10,12,-6,5,10,32,25,17,32,26,8,42,0,0,0,2022
Kevin Stenlund,CBJ,3,0,0,0,0,1,2,3,1,0,2,0,1,2,1,0,100,2022
Devon Toews,COL,67,13,44,57,52,10,20,158,65,44,54,34,45,85,0,0,0,2022
Brendan Smith,CAR,45,4,4,8,5,15,36,63,42,23,73,13,12,40,0,0,0,2022
Fredrik Claesson,TBL,9,0,0,0,-3,0,0,4,4,3,12,3,1,6,0,0,0,2022
