Player,Team,GP,G,A,Pts,+/-,PN,PIM,S,SB,MS,H,GV,TK,BS,FW,FL,F%,Year
Carl Hagelin,WSH,53,3,11,14,9,9,20,71,21,25,32,14,14,12,4,10,28.57,2022
Dryden Hunt,NYR,77,7,9,16,-9,18,52,95,35,48,153,20,21,17,5,15,25,2022
Adam Fox,NYR,78,11,63,74,22,13,26,158,78,39,30,58,78,128,0,0,0,2022
Artemi Panarin,NYR,75,22,74,96,21,5,18,174,104,90,22,71,56,14,1,1,50,2022
John Carlson,WSH,78,17,54,71,12,9,20,195,110,83,73,55,41,114,0,0,0,2022
Chris Kreider,NYR,81,53,25,78,22,12,24,259,69,85,141,45,27,39,69,68,50.36,2022
Ryan Lindgren,NYR,78,4,11,15,18,24,48,73,54,27,129,32,19,141,0,0,0,2022
Nic Dowd,WSH,64,10,14,24,8,21,44,90,22,23,139,14,28,51,505,438,53.55,2022
Dmitry Orlov,WSH,76,12,23,35,24,22,44,127,64,46,124,44,37,94,0,0,0,2022
Alexis LafreniÈre,NYR,79,19,12,31,1,17,37,109,40,43,108,28,44,26,14,34,29.17,2022
T.J. Oshie,WSH,44,11,15,26,-12,9,18,78,25,36,86,18,19,30,73,96,43.2,2022
Alex Ovechkin,WSH,77,50,40,90,8,9,18,334,174,134,155,50,32,25,4,9,30.77,2022
Barclay Goodrow,NYR,79,12,20,32,13,25,69,115,25,41,130,37,39,53,365,373,49.46,2022
Jarred Tinordi,NYR,12,1,0,1,-5,2,7,5,6,4,17,1,0,8,0,0,0,2022
Conor Sheary,WSH,71,19,25,44,-2,7,14,129,32,53,45,12,38,44,11,16,40.74,2022
Justin Schultz,WSH,74,4,19,23,-15,8,16,92,68,45,39,25,12,87,0,0,0,2022
Ryan Reaves,NYR,69,5,8,13,-12,17,43,44,14,15,279,21,11,16,5,5,50,2022
Rasmus Sandin,TOR,51,5,11,16,9,2,4,46,46,30,88,24,18,38,0,0,0,2022
Michael Amadio,TOR,56,11,6,17,1,6,15,64,26,20,44,11,27,16,30,41,42.25,2022
Jason Spezza,TOR,71,12,13,25,-3,13,26,96,44,34,31,31,31,24,305,272,52.86,2022
Mitchell Marner,TOR,73,35,62,97,23,8,16,224,104,92,75,63,72,31,10,8,55.56,2022
Cole Caufield,MTL,67,23,20,43,-22,5,10,188,68,71,18,27,32,7,5,5,50,2022
Michael Bunting,TOR,79,23,40,63,28,32,80,173,54,67,85,23,36,21,8,8,50,2022
Jonathan Drouin,MTL,34,5,14,19,-9,6,23,61,17,25,27,18,6,11,31,35,46.97,2022
Ben Chiarot,MTL,74,9,16,25,-15,24,48,142,90,34,156,69,20,129,0,0,0,2022
Jake Muzzin,TOR,49,3,11,14,-7,8,16,76,62,29,105,44,12,59,0,0,0,2022
Artturi Lehkonen,MTL,74,19,19,38,2,11,22,155,56,58,82,16,18,39,8,21,27.59,2022
David Savard,MTL,63,3,14,17,-23,18,36,66,39,22,134,62,7,127,0,0,0,2022
Josh Anderson,MTL,69,19,13,32,-24,24,65,151,57,74,153,31,33,35,20,22,47.62,2022
Nick Suzuki,MTL,82,21,40,61,-27,15,30,186,71,52,89,71,50,62,700,710,49.65,2022
Christian Dvorak,MTL,56,11,22,33,-19,8,24,87,28,29,32,32,16,52,549,418,56.77,2022
Chris Wideman,MTL,65,4,23,27,-23,24,67,76,48,24,44,57,13,46,0,0,0,2022
Cedric Paquette,MTL,24,0,2,2,-7,7,25,16,5,5,58,4,5,14,31,73,29.81,2022
Morgan Rielly,TOR,82,10,57,67,15,20,40,221,93,68,92,76,40,87,0,0,0,2022
Brendan Gallagher,MTL,57,7,17,24,-7,26,71,142,56,52,54,20,17,29,13,22,37.14,2022
Tyler Toffoli,MTL,74,20,29,49,-4,7,14,195,71,63,81,35,27,24,18,16,52.94,2022
Jeff Petry,MTL,69,6,21,27,-9,18,36,124,106,36,140,107,12,117,0,0,0,2022
Wayne Simmonds,TOR,73,5,11,16,-5,23,96,79,29,24,147,17,15,11,3,3,50,2022
Alexander Romanov,MTL,79,3,10,13,-10,18,53,107,96,41,227,78,24,144,0,0,0,2022
David Kampf,TOR,82,11,15,26,12,10,20,102,32,34,80,25,30,26,615,548,52.88,2022
Ondrej Kase,TOR,52,13,13,26,3,7,14,118,47,39,29,16,28,32,2,9,18.18,2022
Timothy Liljegren,TOR,64,5,18,23,14,7,14,79,53,31,87,41,19,60,0,0,0,2022
Alexander Kerfoot,TOR,82,13,38,51,18,10,20,117,34,41,75,40,36,65,76,101,42.94,2022
Jake Evans,MTL,72,13,16,29,-5,11,22,124,40,31,88,33,39,37,461,465,49.78,2022
TJ Brodie,TOR,82,4,25,29,19,17,34,68,60,29,53,62,30,106,0,0,0,2022
Nick Ritchie,TOR,58,12,11,23,-12,19,43,93,25,41,153,17,9,22,0,4,0,2022
John Tavares,TOR,79,27,47,74,-8,16,32,237,81,111,90,65,39,45,813,528,60.63,2022
Pierre Engvall,TOR,78,15,19,34,12,15,30,154,53,63,66,40,32,12,29,40,42.03,2022
Joel Armia,MTL,60,6,8,14,-15,7,14,103,44,32,104,28,30,27,3,14,17.65,2022
Travis Dermott,TOR,61,2,5,7,10,7,14,46,32,22,55,26,7,46,0,0,0,2022
Brett Kulak,MTL,74,5,16,21,-2,21,45,92,60,27,103,55,21,63,0,0,0,2022
William Nylander,TOR,81,35,45,80,-8,8,16,257,102,107,19,33,59,30,34,31,52.31,2022
Justin Holl,TOR,70,3,19,22,16,19,41,64,39,26,129,56,18,104,0,0,0,2022
Mathieu Perreault,MTL,26,4,5,9,3,2,4,27,11,8,35,8,10,11,36,35,50.7,2022
Peyton Krebs,VGK,57,7,15,22,-25,11,22,56,20,23,25,35,15,8,61,112,35.26,2022
Brandon Tanev,SEA,30,9,6,15,4,5,13,51,13,13,98,11,10,22,2,1,66.67,2022
Reilly Smith,VGK,57,16,21,37,5,4,8,150,51,49,55,42,29,23,5,4,55.56,2022
Alec Martinez,VGK,26,3,5,8,6,2,4,32,24,13,26,19,8,68,0,0,0,2022
Nolan Patrick,VGK,26,2,5,7,0,3,6,34,8,9,26,11,12,3,82,88,48.24,2022
Jeremy Lauzon,SEA,67,2,5,7,-7,26,81,75,51,25,224,24,10,63,0,0,0,2022
Jamie Oleksiak,SEA,72,1,16,17,-2,17,54,95,48,33,182,51,32,86,0,0,0,2022
Jordan Eberle,SEA,79,21,23,44,-27,7,14,164,70,73,48,34,50,40,6,14,30,2022
Pavel Dorofeyev,VGK,3,0,0,0,-1,1,2,1,1,0,0,0,2,1,0,0,0,2022
Riley Sheahan,SEA,69,4,13,17,5,1,2,68,20,20,16,12,18,28,262,297,46.87,2022
Nathan Bastian,SEA,72,12,6,18,-12,20,65,97,20,48,210,15,13,40,23,25,47.92,2022
Alex Wennberg,SEA,80,11,26,37,-24,14,28,95,33,23,47,37,45,44,553,637,46.47,2022
Shea Theodore,VGK,78,14,38,52,6,12,24,205,143,69,37,58,60,97,0,0,0,2022
Marcus Johansson,SEA,69,9,20,29,-26,2,4,110,38,33,31,27,26,27,42,56,42.86,2022
Joonas Donskoi,SEA,75,2,20,22,-13,7,14,91,30,36,36,21,24,31,5,10,33.33,2022
Ryan Donato,SEA,74,16,15,31,-13,13,40,161,46,63,70,23,39,17,15,23,39.47,2022
Adam Larsson,SEA,82,8,16,24,-23,25,55,119,87,55,183,34,23,138,0,0,0,2022
Jonathan Marchessault,VGK,76,32,36,68,5,14,36,257,81,82,64,47,39,18,44,60,42.31,2022
Jaden Schwartz,SEA,38,8,15,23,-14,7,14,101,27,39,42,16,28,14,18,18,50,2022
Nicolas Hague,VGK,53,4,10,14,6,19,38,116,77,46,57,23,25,80,0,0,0,2022
Zach Whitecloud,VGK,59,8,11,19,21,10,20,94,54,40,98,26,13,115,0,0,0,2022
Mason Appleton,SEA,68,8,13,21,0,11,30,98,35,38,64,13,15,20,8,15,34.78,2022
Max Pacioretty,VGK,39,19,18,37,7,11,33,148,58,57,30,23,15,21,2,7,22.22,2022
Morgan Geekie,SEA,73,7,15,22,-14,9,18,97,47,45,55,26,25,23,352,319,52.46,2022
Keegan Kolesar,VGK,77,8,16,24,-7,22,68,96,26,23,248,36,33,46,76,112,40.43,2022
Brayden McNabb,VGK,69,4,15,19,12,20,46,86,62,48,156,29,40,185,0,0,0,2022
Jared McCann,SEA,74,27,23,50,-25,10,33,199,66,88,65,37,42,29,222,268,45.31,2022
William Karlsson,VGK,67,12,23,35,3,5,10,135,45,57,42,34,44,42,507,475,51.63,2022
Vince Dunn,SEA,73,7,28,35,-19,27,63,121,103,58,76,48,25,82,0,0,0,2022
Dylan Coghlan,VGK,60,3,10,13,-5,9,18,108,61,49,62,28,20,61,0,0,0,2022
Alex Pietrangelo,VGK,80,13,31,44,7,15,32,228,145,84,66,56,93,164,0,0,0,2022
Mark Stone,VGK,37,9,21,30,7,4,8,71,24,23,19,29,56,24,13,16,44.83,2022
Haydn Fleury,SEA,37,2,2,4,-2,5,13,52,32,21,61,14,6,62,0,0,0,2022
Evgeny Dadonov,VGK,78,22,27,49,15,9,18,193,78,67,74,30,20,34,1,4,20,2022
Chandler Stephenson,VGK,79,21,43,64,5,13,26,125,37,32,69,32,40,44,653,603,51.99,2022
Mark Giordano,SEA,76,8,27,35,-6,23,57,151,125,70,75,48,19,137,1,0,100,2022
Taylor Raddysh,TBL,74,11,11,22,1,4,10,104,21,38,103,15,23,21,6,10,37.5,2022
Sam Lafferty,PIT,57,5,7,12,-15,12,33,80,23,20,137,19,23,26,108,155,41.06,2022
Danton Heinen,PIT,76,18,15,33,6,8,16,138,34,45,66,24,36,33,0,4,0,2022
Evan Rodrigues,PIT,82,19,22,41,3,7,14,243,82,66,89,32,33,30,183,202,47.53,2022
Mikhail Sergachev,TBL,78,7,31,38,5,25,59,149,77,57,139,39,23,121,0,0,0,2022
Steven Stamkos,TBL,81,42,66,108,25,18,36,241,77,82,93,24,30,31,544,524,50.94,2022
Pierre-Edouard Bellemare,TBL,80,9,11,20,22,8,19,72,25,32,88,18,26,44,485,451,51.82,2022
Alex Killorn,TBL,82,25,33,58,0,33,66,164,49,61,88,30,42,26,2,10,16.67,2022
Jason Zucker,PIT,41,8,9,17,-1,6,15,102,19,25,66,22,15,20,4,11,26.67,2022
Erik Cernak,TBL,55,1,11,12,4,19,46,86,49,43,165,17,21,73,0,0,0,2022
Brian Dumoulin,PIT,76,3,16,19,23,12,24,91,50,44,88,46,34,139,0,0,0,2022
Anthony Cirelli,TBL,76,17,26,43,14,24,70,146,57,56,75,13,60,67,441,505,46.62,2022
Marcus Pettersson,PIT,73,2,17,19,9,19,38,83,53,53,122,14,17,74,0,0,0,2022
Brock McGinn,PIT,65,12,10,22,0,7,14,99,29,29,94,19,18,49,16,28,36.36,2022
Brian Boyle,PIT,66,11,10,21,6,8,27,87,13,22,95,10,20,39,164,200,45.05,2022
Kris Letang,PIT,78,10,59,69,23,23,49,216,130,58,175,79,60,122,0,0,0,2022
Brayden Point,TBL,66,28,28,56,-4,12,33,175,38,78,75,24,33,27,367,351,51.11,2022
Mathieu Joseph,TBL,69,12,18,30,12,13,29,86,25,39,106,20,45,27,20,28,41.67,2022
Ondrej Palat,TBL,77,18,31,49,11,10,20,142,51,54,123,25,30,42,2,16,11.11,2022
Pat Maroon,TBL,81,11,16,27,18,36,134,102,19,35,160,17,16,11,15,15,50,2022
Chad Ruhwedel,PIT,78,4,10,14,2,7,14,82,52,47,149,21,19,85,0,0,0,2022
Mark Friedman,PIT,31,1,5,6,0,9,23,27,8,14,27,4,4,25,0,0,0,2022
Ryan McDonagh,TBL,71,4,22,26,14,8,16,85,49,46,97,24,26,138,0,1,0,2022
Ross Colton,TBL,79,22,17,39,2,8,24,158,44,56,153,8,29,36,304,278,52.23,2022
Victor Hedman,TBL,82,20,66,86,24,18,36,219,131,112,94,57,52,129,0,0,0,2022
Nikita Kucherov,TBL,47,25,44,69,0,11,22,156,61,60,32,37,24,7,1,0,100,2022
Corey Perry,TBL,82,19,20,39,10,25,64,153,36,53,73,22,19,29,2,2,50,2022
Zach Bogosian,TBL,48,3,5,8,2,18,53,60,32,16,114,16,7,34,0,0,0,2022
Bryan Rust,PIT,60,24,33,57,7,7,14,180,50,72,43,36,22,24,1,5,16.67,2022
Dominik Simon,PIT,73,3,12,15,1,12,34,88,24,26,72,20,22,38,9,12,42.86,2022
Kasperi Kapanen,PIT,79,11,21,32,2,8,16,129,57,49,110,30,40,19,5,7,41.67,2022
John Marino,PIT,81,1,23,24,4,10,23,90,62,39,73,35,43,88,0,0,0,2022
Drew O'Connor,PIT,22,3,2,5,-2,2,4,40,8,14,12,5,9,7,18,34,34.62,2022
Jan Rutta,TBL,76,3,15,18,24,22,49,86,68,44,93,18,6,71,0,0,0,2022
Teddy Blueger,PIT,65,9,21,30,12,5,10,93,20,21,87,22,37,32,356,318,52.82,2022
Jeff Carter,PIT,76,19,26,45,-8,18,38,200,69,45,98,39,33,50,648,489,56.99,2022
