Player,Tm,Salary,Cap Hit,Year
Kaapo Kähkönen,SJS,"2,900,000","2,750,000",2024
Jakub Vrána,STL,"2,875,000","2,625,000",2024
Jonas Siegenthaler,NJD,"2,750,000","3,400,000",2024
Tanner Pearson,MTL,"2,750,000","3,250,000",2024
Luke Schenn,NSH,"2,750,000","2,750,000",2024
Andrew Peeke,CBJ,"2,750,000","2,750,000",2024
Ilya Lyubushkin,ANA,"2,750,000","2,750,000",2024
Semyon Varlamov,NYI,"2,750,000","2,750,000",2024
Brayden McNabb,VEG,"2,750,000","2,850,000",2024
Trevor van Riemsdyk,WSH,"2,750,000","3,000,000",2024
K'Andre Miller,NYR,"2,748,000","3,872,000",2024
Mathieu Joseph,OTT,"2,700,000","2,950,000",2024
Jordan Martinook,CAR,"2,700,000","1,800,000",2024
Noah Cates,PHI,"2,625,000","2,625,000",2024
Adam Boqvist,CBJ,"2,600,000","2,600,000",2024
Casey Mittelstadt,BUF,"2,600,000","2,500,000",2024
Henri Jokiharju,BUF,"2,600,000","2,500,000",2024
"Dumba, Matt",ARI,"2,550,000","3,900,000",2024
Dominik Kubalík,OTT,"2,500,000","2,500,000",2024
Cody Glass,NSH,"2,500,000","2,500,000",2024
Alexandre Carrier,NSH,"2,500,000","2,500,000",2024
Dante Fabbro,NSH,"2,500,000","2,500,000",2024
Brandon Tanev,SEA,"2,500,000","3,500,000",2024
William Borgen,SEA,"2,500,000","2,700,000",2024
Casey Cizikas,NYI,"2,500,000","2,500,000",2024
Alexander Romanov,NYI,"2,500,000","2,500,000",2024
William Nylander,TOR,"2,500,000","6,962,366",2024
Jan Rutta,SJS,"2,500,000","2,750,000",2024
Nikita Zaitsev,CHI,"2,500,000","4,500,000",2024
Carson Soucy,VAN,"2,500,000","3,250,000",2024
Zemgus Girgensons,BUF,"2,500,000","2,500,000",2024
Kyle Okposo,BUF,"2,500,000","2,500,000",2024
Niko Mikkola,FLA,"2,500,000","2,500,000",2024
"Middleton, Jake",MIN,"2,500,000","2,450,000",2024
Kaapo Kakko,NYR,"2,400,000","2,100,000",2024
Dillon Dubé,CGY,"2,400,000","2,300,000",2024
Jesper Fast,CAR,"2,400,000","2,400,000",2024
Martin Fehérváry,WSH,"2,400,000","2,675,000",2024
Sonny Milano,WSH,"2,350,000","1,900,000",2024
Jamie Drysdale,ANA,"2,300,000","2,300,000",2024
