證券代碼,簡稱,TSE 產業別,年月,財報發布日,ROA(A)稅後息前,ROE(B)－常續利益,營業毛利率,營業利益率,稅後淨利率,股利殖利率,研究發展費用率,營業費用率,常續性EPS,資產總額,負債總額,股東權益總額
1473,台南,04,201812,2019/3/29,1.76,1.42,15.09,2.76,6.09,,1.38,12.32,0.26,6085772,2214796,3870976
1474,弘裕,04,201812,2019/3/28,0.98,1.94,9.27,0.34,3.84,,1.77,8.93,0.9,3800530,1872608,1927922
1475,業旺,04,201812,2019/3/28,0.26,1.71,-153.27,-190.29,-0.39,,4.1,37.01,-4.16,91648,57892,33756
1476,儒鴻,04,201812,2019/3/14,5.8,7.62,30.09,19.91,16.45,,0.5,10.18,16.03,22140882,5209852,16931030
1477,聚陽,04,201812,2019/3/27,3.15,4.47,21.04,8.52,6.43,,0,12.52,7.04,13661185,4780427,8880758
1503,士電,05,201812,2019/4/1,0.69,0.89,14.05,3.96,4,,2.79,10.09,2.57,40013351,16432512,23580839
1504,東元,05,201812,2019/3/29,0.89,1.35,23.9,6.55,5.94,,2.14,17.36,1.64,91981286,33490371,58490915
1506,正道,05,201812,2019/3/29,-4.36,-8.84,-11.33,-43.84,-45.59,,5.23,32.5,-1.17,2991928,1732612,1259316
1512,瑞利,12,201812,2019/3/28,-2.34,-8.86,2.65,-7.38,-10.83,,0.13,10.03,-0.76,3483567,2737424,746143
1513,中興電,05,201812,2019/3/27,0.68,1.89,14.43,4.75,3.41,,2.17,9.68,1.32,16940766,9324956,7615810
1514,亞力,05,201812,2019/3/28,1.33,2.41,15.55,4.37,5.42,,2.25,11.2,1.06,5702986,2810755,2892231
1515,力山,05,201812,2019/3/28,4.89,14.75,22.89,16.24,9.22,,1.54,6.65,2.77,7010098,4460540,2549558
1516,川飛,20,201812,2019/3/25,-0.37,0.65,3.54,1.16,-1.13,,0,2.38,0.63,392550,24605,367945
1517,利奇,05,201812,2019/3/29,-0.9,-1.04,8.5,-7.68,-1.09,,4.64,16.18,0.31,4682219,1370768,3311451
1519,華城,05,201812,2019/3/27,2.36,5.21,16.58,8.09,8.7,,1.85,8.48,0.2,6826858,3763662,3063196
1521,大億,12,201812,2019/3/29,2.09,4.01,14.01,3.64,5.73,,4.14,10.45,4.19,3452041,1603436,1848605
1522,堤維西,12,201812,2019/3/28,0.66,1.55,22.16,2.46,2.67,,3.44,19.7,2.2,21468876,14851823,6617053
1524,耿鼎,12,201812,2019/3/13,1.16,2.37,22.14,10.37,8.67,,0.2,11.77,1.07,4967533,2699089,2268444
1525,江申,12,201812,2019/3/29,3.19,3.87,11.27,4.71,38.28,,1.24,6.56,6.17,4977607,864469,4113138
1526,日馳,05,201812,2019/3/26,2.04,3.95,23.33,7.58,9.79,,1.52,15.75,2.19,1737635,750998,986637
1527,鑽全,05,201812,2019/3/27,2.01,6.8,30.87,18.11,31.36,,6.33,12.75,7.8,14861682,11033098,3828584
1528,恩德,05,201812,2019/3/12,-0.25,-0.4,21.25,-1.08,-2.03,,1.85,22.33,0.25,5851408,3226519,2624889
1529,樂事綠能,05,201812,2019/3/29,2.36,3.05,12.89,7.25,8.08,,0.17,5.63,0.65,944416,242255,702161
1530,亞崴,05,201812,2019/3/26,1.31,3.13,13.76,2.63,7.55,,2.13,10.96,3.48,7781401,4647910,3133491
1531,高林股,05,201812,2019/3/29,0.77,0.72,21.51,5.28,4.04,,2.26,16.23,0.66,4667537,889754,3777783
1532,勤美,05,201812,2019/3/29,1.95,4.2,29.86,15.05,13.92,,0.18,14.83,3.83,38008157,21064992,16943165
1533,車王電,12,201812,2019/3/27,1.56,1.59,32.76,13.05,8.51,,3.51,19.71,2.39,5153410,2469816,2683594
1535,中宇,05,201812,2019/3/20,0.54,1.35,3.89,-0.39,1.24,,0.07,3.98,0.8,8080272,5082455,2997817
1536,和大,12,201812,2019/3/27,1.78,3.87,29.67,16.77,15.24,,1.86,12.89,4.86,15575900,8705106,6870794
1537,廣隆,05,201812,2019/3/27,3.46,5.29,22.78,13.54,9.36,,0.6,9.24,12.08,5813084,1896460,3916624
1538,正峰,05,201812,2019/3/29,-2.16,-8.95,14.77,-18.57,-28.77,,5.94,33.34,-1.75,1224502,909905,314597
1539,巨庭,05,201812,2019/3/27,-0.13,-1.49,8.56,0.93,45.69,,1.43,7.63,1.33,3125439,1763120,1362319
1540,喬福,05,201812,2019/4/1,2.06,2.72,18.11,9.33,18.15,,1.61,8.77,1.4,1917172,463477,1453695
1541,錩泰,05,201812,2019/3/27,-0.98,-2.58,15.06,-6.46,-3.3,,1.1,21.52,0.98,2806725,1697082,1109643
1558,伸興,05,201812,2019/3/28,2.24,3.25,25.21,12.08,10.93,,2.08,13.13,14.98,6811619,1964526,4847093
1560,中砂,05,201812,2019/3/24,3.19,4.57,27.08,12.55,15.76,,1.86,14.53,4.88,6630642,2081706,4548936
1565,精華,22,201812,2019/3/14,4.94,7.5,37.79,30.06,24.58,,0.62,7.73,33.07,8746970,2941169,5805801
1568,倉佑,12,201812,2019/3/28,0.16,0.02,10,0.38,0.01,,2.74,9.62,0.49,3572231,1978592,1593639
1569,濱川,25,201812,2019/3/29,0.64,0.73,22.24,7.93,2.02,,2.15,14.3,0.37,6315898,3588001,2727897
1570,力肯,05,201812,2019/3/29,2.6,3.16,27.55,14.81,15.31,,3.88,12.74,1.61,886094,150636,735458
1580,新麥,05,201812,2019/3/26,5.22,7.96,40.26,16.45,14.12,,3.58,23.81,9.46,3231967,1113492,2118475
1582,信錦,28,201812,2019/3/14,2.73,4.39,26.29,14.7,10.44,,1.85,11.6,7.22,8394502,2838904,5555598
1583,程泰,05,201812,2019/3/28,1.54,3.86,20.48,5.68,10.58,,2.53,14.8,5.53,14655000,8652834,6002166
1584,精剛,20,201812,2019/3/27,-1.03,-2.1,2.12,-12.37,-20.74,,5.12,14.5,-0.77,2027512,1146144,881368
1586,和勤,05,201812,2019/3/29,0.25,1.25,18.13,3.21,0.23,,1.79,14.92,1.65,3101405,1665736,1435669
1587,吉茂,12,201812,2019/3/28,1.69,1.44,26.56,8.9,9.37,,2.05,17.66,0.25,2621269,1404598,1216671
